timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1422953130657614,10,51.760609,-1.261269,67.992341,2.357416,1.332017,3.985746,5735843.313565,619996.180448,-67.992341,30U
1422953130858317,10,51.760609,-1.261269,67.999575,2.357487,1.332164,3.986268,5735843.316478,619996.190987,-67.999575,30U
1422953131057687,10,51.760609,-1.261269,68.017283,2.357586,1.332296,3.986756,5735843.297671,619996.181887,-68.017283,30U
1422953131257575,10,51.760609,-1.261269,68.008983,2.357559,1.332081,3.986540,5735843.299584,619996.170467,-68.008983,30U
1422953131457675,10,51.760609,-1.261269,68.057873,2.357586,1.332057,3.986716,5735843.283183,619996.166479,-68.057873,30U
1422953131657577,10,51.760609,-1.261270,68.092309,2.357647,1.332035,3.986919,5735843.274056,619996.158926,-68.092309,30U
1422953131857993,10,51.760609,-1.261269,68.090469,2.357716,1.332196,3.987430,5735843.265248,619996.165984,-68.090469,30U
1422953132057595,10,51.760609,-1.261269,68.083745,2.357755,1.332184,3.987622,5735843.267037,619996.172064,-68.083745,30U
1422953132257797,10,51.760609,-1.261270,68.063840,2.357810,1.332109,3.987698,5735843.263359,619996.163110,-68.063840,30U
1422953132457291,10,51.760609,-1.261269,68.085992,2.357911,1.332249,3.988178,5735843.260715,619996.173473,-68.085992,30U
1422953132657546,10,51.760609,-1.261269,68.065761,2.357940,1.332235,3.988392,5735843.257115,619996.165029,-68.065761,30U
1422953132857727,10,51.760609,-1.261269,68.086887,2.358017,1.332261,3.988636,5735843.255635,619996.166780,-68.086887,30U
1422953133057569,10,51.760609,-1.261270,68.068330,2.358039,1.332035,3.988399,5735843.250235,619996.163262,-68.068330,30U
1422953133257496,10,51.760609,-1.261269,68.088416,2.358118,1.332205,3.988929,5735843.236982,619996.165977,-68.088416,30U
1422953133457853,10,51.760609,-1.261270,68.128316,2.358035,1.331975,3.988751,5735843.226811,619996.163951,-68.128316,30U
1422953133657441,10,51.760609,-1.261269,68.156566,2.358108,1.332066,3.989125,5735843.209201,619996.167333,-68.156566,30U
1422953133857556,10,51.760609,-1.261269,68.161206,2.358140,1.332000,3.989213,5735843.206228,619996.166912,-68.161206,30U
1422953134057829,10,51.760608,-1.261270,68.199453,2.358244,1.332063,3.989559,5735843.201992,619996.163761,-68.199453,30U
1422953134257595,10,51.760608,-1.261270,68.159051,2.358293,1.332096,3.989840,5735843.203603,619996.156633,-68.159051,30U
1422953134457498,10,51.760609,-1.261270,68.143369,2.358344,1.332147,3.990165,5735843.215652,619996.138706,-68.143369,30U
1422953134657466,10,51.760609,-1.261270,68.135498,2.358364,1.332107,3.990317,5735843.218306,619996.143973,-68.135498,30U
1422953134858024,10,51.760609,-1.261270,68.143578,2.358481,1.332095,3.990502,5735843.214158,619996.144983,-68.143578,30U
1422953135057647,10,51.760609,-1.261270,68.106116,2.358438,1.331961,3.990458,5735843.227152,619996.142936,-68.106116,30U
1422953135257599,10,51.760609,-1.261270,68.114290,2.358486,1.332001,3.990740,5735843.218511,619996.135364,-68.114290,30U
1422953135457684,10,51.760609,-1.261270,68.122833,2.358546,1.332025,3.990968,5735843.216713,619996.142495,-68.122833,30U
